normalized,total_count,num_variants,variants_with_counts
LOG PERPLEXITY,2,2,Log-Perplexity (1); log perplexity (1)
LOGIQA,2,2,LogiQA (1); LogiQA 2.0 (1)
M INDEX,2,2,M-Index (1); M-index (1)
MAAS,2,2,MAAS (1); Maas (1)
MACC,2,2,MACC (1); MAcc (1)
MATTHEW CORRELATION,2,2,Matthew Correlation (1); Matthew correlation (1)
MATTHEWS CORRELATION,2,2,Matthews Correlation (1); Matthews correlation (1)
MAX INCORRECT,2,2,MAX INCORRECT@k (1); Max Incorrect@k (1)
MCNEMAR TEST,2,2,McNemar Test (1); McNemar test (1)
MISALIGNMENT,2,2,Misalignment (1); Misalignment Score (1)
MODEL BASED EVALUATION,2,2,Model-Based Evaluation (1); Model-based Evaluation (1)
MORGAN FINGERPRINT SIMILARITY,2,2,Morgan Fingerprint Similarity (1); Morgan fingerprint similarity (1)
MTBENCH,2,2,MTBench (1); MTBench Score (1)
N,2,2,N@k (1); n@k (1)
N GRAM ENTROPY,2,2,N-gram entropy (1); n-gram entropy (1)
NED,2,2,NED (1); nED (1)
NEGATION DETECTION,2,2,Negation Detection (1); Negation detection (1)
NEGATIVE LOG LIKELIHOOD NLL,2,2,Negative Log Likelihood (NLL) (1); Negative Log-Likelihood (NLL) (1)
NEGATIVE LOG PROBABILITY,2,2,Average Negative Log Probability (1); Negative Log Probability (1)
NIAH,2,2,NIAH (1); NIAH Score (1)
NLI CONTRADICTION,2,2,NLI contradiction score (1); NLI-Contradiction (1)
NLI ENTAILMENT,2,2,NLI Entailment Score (1); NLI-Entailment (1)
NORMALIZED EXACT MATCH,2,2,Normalized Exact Match (1); normalized exact match (1)
NORMALIZED PROBABILITY,2,2,Normalized Probability (1); normalized probability (1)
NOT ATTEMPTED NA,2,2,Not Attempted (NA) (1); Not attempted (NA) (1)
NUMBER OF ATTEMPTS,2,2,Average Number of Attempts (1); Number of Attempts (1)
NUMBER OF QUESTIONS,2,2,Average Number of Questions (1); Mean number of questions (1)
NUMERIC TOLERANCE,2,2,Numeric Tolerance (1); numeric tolerance (1)
O,2,2,O-Score (1); O_F (1)
OPT,2,2,OPT (1); Opt@K (1)
OUTPUT LENGTH,2,2,Output Length (1); average output length (1)
OUTPUT TOKEN COUNT,2,2,Output Token Count (1); output token count (1)
OVERALL ALLCORRECT,2,2,Overall AllCorrect (1); Overall-AllCorrect (1)
OVERALL QUALITY,2,2,Overall Quality Score (1); overall quality score (1)
OVERLAP RATE,2,2,Overlap Rate (1); Overlap rate (1)
PARAPHRASE ACCURACY,2,2,Paraphrase Accuracy (1); Paraphrase accuracy (1)
PATH,2,2,Path% (1); path@k (1)
PATTERN MATCHING,2,2,Pattern Matching (1); Pattern-matching (1)
PEARSON S CORRELATION COEFFICIENT,2,2,Pearson's Correlation Coefficient (1); Pearson's correlation coefficient (1)
PER WORD ENTROPY,2,2,Mean per-word entropy (1); Per-Word Entropy (1)
PERFORMANCE GAIN,2,2,Performance Gain (1); Performance gain (1)
PERSONA F1,2,2,Persona F1 (1); Persona-F1 (1)
PERSPECTIVE API TOXICITY,2,2,PERSPECTIVE API toxicity score (1); Perspective API Toxicity (1)
PERSUASION,2,2,Persuasion Score (1); persuasion score (1)
PIXEL ACCURACY,2,2,Pixel Accuracy (1); pixel accuracy (1)
POSITIVE RATE,2,2,Positive Rate (1); positive rate (1)
PREFIX ACCURACY,2,2,Prefix Accuracy (1); Prefix accuracy (1)
PROBABILITY DIFFERENCE,2,2,Probability Difference (1); Probability difference (1)
PROFANITY,2,2,Profanity (1); Profanity Score (1)
PROMPT LEVEL ACCURACY,2,2,Prompt-level Accuracy (1); Prompt-level accuracy (1)
PSAS,2,2,PSAS-A (1); PSAS-S (1)
PSEUDO LOG LIKELIHOOD,2,2,Pseudo-log-likelihood (1); pseudo-log-likelihood (1)
PWR,2,2,PWR (1); PWR@K (1)
QUESTION MATCH ACCURACY,2,2,Question Match Accuracy (1); Question match accuracy (1)
QUIP,2,2,QUIP (1); QUIP-Score (1)
R@M,2,2,R@M (1); R@m (1)
RANKING,2,2,Average Ranking Score (1); Ranking Score (1)
RATCLIFF OBERSHELP SIMILARITY,2,2,Ratcliff-Obershelp Similarity (1); Ratcliff-Obershelp similarity (1)
RATIO,2,2,Ratio (1); ratio (1)
RATIONALE QUALITY,2,2,Rationale Quality (1); Rationale Quality Score (1)
RDK FINGERPRINT SIMILARITY,2,2,RDK Fingerprint Similarity (1); RDK fingerprint similarity (1)
RE,2,2,Re (1); Re@K (1)
REASONING EFFICIENCY,2,2,Reasoning Efficiency (1); reasoning efficiency (1)
RECALL RATE,2,2,Recall Rate (1); recall rate (1)
RECALLKT,2,2,Recall@2kt (1); Recall@5kt (1)
RELATION PRECISION,2,2,Macro-Relation-Precision (1); Micro-Relation-Precision (1)
RELATION RECALL,2,2,Macro-Relation-Recall (1); Micro-Relation-Recall (1)
RELATIVE PERFORMANCE,2,2,Relative Performance (1); relative performance (1)
REO,2,2,REO (1); Reo (1)
REPETITION REP,2,2,Repetition (Rep) (1); repetition (rep) (1)
RETRIEVAL,2,2,Retrieval Score (1); Retrieval@21 (1)
RETRIEVAL PRECISION,2,2,Retrieval Precision (1); Retrieval Precision@k (1)
RHYME DENSITY,2,2,Rhyme Density (1); Rhyme density (1)
RULE BASED MATCHING,2,2,Rule-based Matching (1); Rule-based matching (1)
S2MATCH,2,2,S2MATCH (1); S2match (1)
SA,2,2,SA score (1); Score_sa (1)
SCORES,2,2,Avg Scores (1); Scores ≥ 80 (1)
SD,2,2,SD (1); SD Score (1)
SDC,2,2,SDC (1); SDC* (1)
SELECTION ACCURACY,2,2,Selection Accuracy (1); Selection accuracy (1)
SELF CONSISTENCY,2,2,Self-consistency (1); self-consistency (1)
SELF SIM,2,2,Self-Sim (1); self-SIM (1)
SEMANTIC DISTANCE,2,2,Semantic Distance (1); semantic distance (1)
SEMANTIC F1,2,2,Semantic F1 (1); semantic F1-score (1)
SENTENCE EMBEDDING SIMILARITY,2,2,Sentence embedding similarity (1); sentence embedding similarity (1)
SENTENCE LEVEL ACCURACY,2,2,Sentence-level accuracy (1); sentence-level accuracy (1)
SENTENCE LEVEL F1,2,2,Sentence-level F1 (1); sentence-level F1 (1)
SENTIMENT CLASSIFICATION,2,2,Sentiment Classification (1); Sentiment Classification Score (1)
SEQMATCH,2,2,SeqMatch-A (1); SeqMatch-O (1)
SHANNON,2,2,Shannon (1); Shannon Score (1)
SOLUTION ACCURACY,2,2,Solution Accuracy (1); solution accuracy (1)
SPEED ACCURACY,2,2,Speed accuracy (1); speed accuracy (1)
SPEED UP RATIO,2,2,Speed-up Ratio (1); speed-up ratio (1)
SQUAD F1,2,2,SQuAD F1 (1); SQuAD-F1 (1)
STATISTICAL SIGNIFICANCE TESTING,2,2,Statistical Significance Testing (1); Statistical significance testing (1)
STEPS ALLCORRECT,2,2,Steps AllCorrect (1); Steps-AllCorrect (1)
STEPS F1,2,2,Steps (F1) (1); Steps F1 (1)
STRING EDIT DISTANCE,2,2,String Edit Distance (1); String edit distance (1)
STRUCTURE,2,2,Structure (1); Structure Score (1)
STRUCTURE SIMILARITY,2,2,Structure Similarity (1); Structure similarity (1)
STYLE,2,2,Style (1); Style Score (1)
SUFFICIENCY,2,2,Sufficiency (1); sufficiency (1)
SUMMACCONV,2,2,SummaCConv (1); SummacConv (1)
SUMMARY LENGTH,2,2,Average Summary Length (1); Summary Length (1)
SUPPORT EM,2,2,Support EM (1); Support-EM (1)
SUPPORT F1,2,2,Support F1 (1); Support-F1 (1)
T,2,2,%T*I (1); T*I (1)
T5 NLI,2,2,T5 NLI (1); t5_NLI (1)
TABEVAL,2,2,TABEVAL (1); TabEval (1)
TERM ACCURACY,2,2,Term Accuracy (1); term accuracy (1)
TEST SUITE ACCURACY,2,2,Test Suite Accuracy (1); Test-suite accuracy (1)
TEST SUITE EXECUTION ACCURACY,2,2,Test-Suite Execution Accuracy (1); test-suite execution accuracy (1)
TEXTBLOB,2,2,ΔTextBlob (1); ∆TextBlob (1)
TOKEN THROUGHPUT,2,2,Token throughput (1); token throughput (1)
TOKEN USAGE,2,2,Token Usage (1); Token usage (1)
TOKENS,2,2,Tokens (1); tokens/s (1)
TOOL HALLUCINATION RATE,2,2,Tool Hallucination Rate (1); Tool hallucination rate (1)
TOP 5 ACCURACY,2,2,Top-5 Accuracy (1); top-5 accuracy (1)
TOP K RETRIEVAL ACCURACY,2,2,Top-k Retrieval Accuracy (1); Top-k retrieval accuracy (1)
TOXICITY PERCENTAGE,2,2,Toxicity Percentage (1); Toxicity percentage (1)
TOXICITY SCORES,2,2,Toxicity Scores (1); Toxicity scores (1)
TOXIGEN,2,2,TOXIGEN (1); ToxiGen (1)
TP@FP,2,2,TP@FP=1% (1); TP@FP=5% (1)
TPR FPR,2,2,TPR@10%FPR (1); TPR@5%FPR (1)
TR,2,2,TR-N (1); TR-S (1)
TRACK PRECISION,2,2,Macro-Track-Precision (1); Micro-Track-Precision (1)
TRACK RECALL,2,2,Macro-Track-Recall (1); Micro-Track-Recall (1)
TRANSLATION LANGUAGE ACCURACY,2,2,Translation-Language Accuracy (1); Translation-language accuracy (1)
TRUTH,2,2,%Truth (1); Truth (1)
TYPE TOKEN RATIO TTR,2,2,Type-Token Ratio (TTR) (1); Type-Token Ratio (TTR_g) (1)
UA,2,2,Avg-UA (1); UA (1)
UNIGRAM RECALL,2,2,Unigram Recall (1); unigram recall (1)
UNIT TEST PASS RATE,2,2,Unit Test Pass Rate (1); Unit test pass rate (1)
UNIT TESTS,2,2,Unit Tests (1); Unit tests (1)
UNWEIGHTED ACCURACY,2,2,Unweighted Accuracy (1); Unweighted Average Accuracy (1)
UTTERANCE LENGTH,2,2,Average utterance length (1); average utterance length (1)
V UV F1,2,2,V/UV F1 (1); V/UV F1 score (1)
VICUNA BENCH,2,2,Vicuna-Bench (1); Vicuna-bench (1)
VOCABULARY DIVERSITY,2,2,Vocabulary Diversity (1); Vocabulary diversity (1)
WORD F MEASURE,2,2,Word F-measure (1); word f-measure (1)
WORD ORDER ACCURACY,2,2,Word Order Accuracy (1); Word order accuracy (1)
WWLK,2,2,WWLK (1); WWLKθ (1)
XCOMET QE,2,2,XCOMET-QE (1); xCOMET-QE (1)
