raw_string,source,occurrences_llm,occurrences_human,chosen_id,chosen_name,chosen_type,chosen_source,stage1_qcet_id,stage1_qcet_fit,stage2_cluster_id,fit,construct,justification,cache_hit,error,override_applied
C1: Contains irrelevant content,llm,1,0,QIC-c-2,Absence of Additions (relative to input),qcet,stage4_llm,QIC-c-2,partial,4,strong,absence of irrelevant content,Irrelevant content constitutes additions not provided in the input.,True,,
C3: Eliminates incorrect options,llm,1,0,QEC-w-1,Functional Correctness,qcet,stage4_llm,QEC-w-1,partial,-1,partial,functional behavior correctness,Eliminating incorrect options reflects target functional behavior.,True,,
CEFR level matching,human,0,1,QIF-f-1,Control over Complexity/Non-complexity (form),qcet,stage4_llm,QIF-f-1,partial,-1,strong,complexity level control,CEFR levels define target linguistic complexity in input.,True,,
Can't tell,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,annotator uncertainty indicator,Not a quality criterion but an evaluation-process label.,True,,
Candidate favorability,human,0,1,QEF-w-7,Effect on User Stance,qcet,stage4_llm,QEF-w-7,partial,-1,strong,effect on user stance,Favorability directly measures stance toward candidates.,True,,
Carry-over correctness,llm,1,0,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-3,partial,-1,strong,Output consistency with prior context,"Matches QIC-c-3's focus on input consistency, including dialog history.",True,,
Category Clarity,llm,1,0,QOG-w-5.1,Clarity,qcet,stage4_llm,QOG-w-5.1,partial,-1,strong,Clear categorical information,Directly corresponds to clarity of categorical outputs.,True,,
Category consistency,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage4_llm,,none,-1,strong,Consistent categorical content,Aligns with internal consistency of categorical meaning.,True,,
Category-Question Alignment,human,0,1,QIG-c-3,Relevance to Input,qcet,stage4_llm,QIG-c-3,partial,-1,strong,Category relevance to query,Measures relevance of categories to input questions.,True,,
Character Arc,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,Story character development,Specific narrative concept outside QCET scope.,True,,
Calculation Error,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,QOC-c-1,partial,-1,partial,correctness of calculations,Calculation errors are semantic errors affecting numerical accuracy.,True,,
Calculation error,llm,1,0,QOC-c-1,Semantic Correctness,qcet,stage4_llm,,none,-1,partial,correctness of calculations,Calculation errors are semantic errors affecting numerical accuracy.,True,,
calculation error,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,QEC-c-1,partial,-1,partial,correctness of calculations,Calculation errors are semantic errors affecting numerical accuracy.,True,,
Calculation Errors,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,QOC-c-1,partial,-1,partial,correctness of calculations,Plural form still refers to semantic errors in calculations.,True,,
Calculation errors,llm,1,0,QOC-c-1,Semantic Correctness,qcet,stage4_llm,,none,-1,partial,correctness of calculations,Plural form still refers to semantic errors in calculations.,True,,
Calculation correctness,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QOC-c-1,partial,-1,strong,computational validity,Synonymous with numerical factual accuracy.,True,,
Calculation/Comprehension,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,compound criterion,"Combines calculation (QOC-c-1) and comprehension (QOG-w-5), no single leaf.",True,,
Calculator Error,llm,1,0,QOC-c-1,Semantic Correctness,qcet,stage4_llm,,none,-1,partial,correctness of calculations,Synonym for calculation error in semantic context.,True,,
Camera,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,Extraction noise,Not a recognizable quality criterion.,True,,
Causality Accuracy,human,0,1,QEC-c-1,Factual Truth,qcet,stage4_llm,QEC-c-1,partial,-1,partial,Correctness of causal claims,Specific case of factual accuracy in causal relations.,True,,
Causality Significance,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,Ambiguous evaluation concept,No clear QCET mapping; significance implies non-standard measure.,True,,
Causality Type Accuracy,human,0,1,QEC-c-1,Factual Truth,qcet,stage4_llm,QEC-c-1,partial,-1,partial,Correctness of causal categories,Subtype of factual accuracy for causal classifications.,True,,
Challenged the Counselor,human,0,1,QEF-w-7,Effect on User Stance,qcet,stage4_llm,QEF-w-7,partial,-1,partial,Outputs altering user's position,Challenging implies shifting counselor's stance.,True,,
CircE,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,,none,-1,strong,semantic error absence,"Abbreviation for circumstance error, a semantic error type.",True,,
Circumstance Error,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,QOC-c-1,partial,-1,strong,semantic error absence,Directly denotes a semantic accuracy flaw in outputs.,True,,
Circumstance Error (CircE),human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,QOC-c-1,partial,-1,strong,semantic error absence,Explicitly references semantic errors in context details.,True,,
Citation F1,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,automatic metric for citations,F1 score is an automatic evaluation metric.,True,,
citation F1,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,automatic metric for citations,F1 score is an automatic evaluation metric.,True,,
Chart Data Correctness,human,0,1,QEC-c-1,Factual Truth,qcet,stage4_llm,QEC-c-1,partial,-1,partial,factual accuracy in data,Aligns with real-world truth but focuses narrowly on charts.,True,,
Change of Plans,human,0,1,QEF-w-2,Effect on User Behaviour,qcet,stage4_llm,QEF-w-2,partial,-1,partial,impact on user actions,"Refers to altering user intentions, a specific behavioral effect.",True,,
Character,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,ambiguous term or section header,Too vague; may not be a measurable criterion.,True,,
character,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,ambiguous term or section header,Too vague; may not be a measurable criterion.,True,,
"Character (names, actions, emotions)",llm,1,0,QIC-c-3,Consistency with Input,qcet,stage4_llm,,none,-1,partial,input-output alignment for characters,Focuses on preserving character details from input.,True,,
Character Preservation,human,0,1,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-3,partial,-1,strong,fidelity to input character traits,Directly matches consistency for character aspects.,True,,
Character Utterance,llm,1,0,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage4_llm,,none,-1,partial,contextual fit of speech,Relates to utterances suiting character context.,True,,
Character valence,human,0,1,QIF-w-2,Control over Sentiment,qcet,stage4_llm,QIF-w-2,partial,-1,partial,sentiment control relative to input,"Valence relates to sentiment polarity, fitting sentiment control criteria partially due to input-dependence.",True,,
Characterization,human,0,1,QEF-w-5,Detectability of Speaker/Author Trait,qcet,stage4_llm,QEF-w-5,partial,-1,strong,detectability of character traits,"Characterization directly measures trait portrayal in outputs, matching this QCET leaf.",True,,
Checklist quality,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage4_llm,,none,-1,partial,coverage of required content,"Checklists imply coverage of input-specified items, aligning broadly with omission avoidance.",True,,
Choice Agreement,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage4_llm,,none,-1,partial,matching target selections,Agreement with choices resembles classification accuracy against target outputs.,True,,
Choice agreement,llm,1,0,QTC-w-1,Classification Accuracy,qcet,stage4_llm,,none,-1,partial,matching target selections,Agreement with choices resembles classification accuracy against target outputs.,True,,
Chronology,llm,1,0,QOG-c-3.1,Wellorderedness,qcet,stage4_llm,QOG-c-3.1,partial,-1,strong,temporal ordering of events,"Chronology directly measures logical event sequencing, fitting wellorderedness.",True,,
Character Attractiveness,human,0,1,QEF-w-5,Detectability of Speaker/Author Trait,qcet,stage4_llm,,none,-1,partial,Perceived appeal of character,Relates to trait perception but emphasizes attractiveness over detectability.,True,,
Character Behavior,llm,1,0,QEG-c-2,Appropriateness (content/meaning),qcet,stage4_llm,,none,-1,partial,Suitability of character actions,Focuses on behavioral appropriateness within content context.,True,,
Character Encoding,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,Technical data representation,"Refers to implementation detail, not a quality criterion.",True,,
Change Talk Exploration,human,0,1,QEF-w-2,Effect on User Behaviour,qcet,stage4_llm,,none,-1,partial,Influencing user change discussions,Aligns with behavioral effects but specifies exploratory focus.,True,,
Change of Meaning,human,0,1,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),qcet,stage4_llm,QIF-c-2,partial,-1,partial,Semantic deviation from input,Directly indicates content shift but lacks directionality specification.,True,,
Clustering equivalence,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,cluster matching metric,"Refers to algorithmic equivalence, not a standard NLG quality criterion.",True,,
Clarity of Viewpoint,llm,1,0,QOG-w-5.1,Clarity,qcet,stage4_llm,QOG-w-5.1,partial,-1,partial,output clarity,Specific clarity type fits broader QOG-w-5.1 definition.,True,,
Clarity of the Research Topic and Purpose,human,0,1,QOG-w-5.1,Clarity,qcet,stage4_llm,QOG-w-5.1,partial,-1,partial,output clarity,Specialized clarity aspect partially matches general clarity.,True,,
Clarity of the Theme,human,0,1,QOG-w-5.1,Clarity,qcet,stage4_llm,QOG-w-5.1,partial,-1,partial,output clarity,Theme clarity is a narrower instance of general clarity.,True,,
Climax,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,narrative structure feature,Specific storytelling element not covered in QCET taxonomy.,True,,
City,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,extraction noise (geographic context),Not a quality criterion; likely context tag.,True,,
Civility,human,0,1,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage4_llm,QEG-w-2,partial,-1,partial,social appropriateness,Civility is a specific aspect of contextual appropriateness.,True,,
Claim support,llm,1,0,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage4_llm,,none,-1,partial,supporting argumentative tasks,Relates to usefulness in backing claims.,True,,
Claim verifiability,human,0,1,QEC-c-1,Factual Truth,qcet,stage4_llm,,none,-1,partial,verifiable factual accuracy,Verifiability enables truth assessment.,True,,
Clarification (resolve ambiguity),human,0,1,QIG-w-3,Quality as Explanation of Input,qcet,stage4_llm,QIG-w-3,partial,-1,partial,input disambiguation,Clarification explains ambiguous inputs.,True,,
Clarification (verify understanding),human,0,1,QIG-f-1,Appropriateness of System Response Type,qcet,stage4_llm,,none,-1,partial,appropriateness of clarification response,Matches system's response type appropriateness when verifying understanding.,True,,
Clarity Errors,human,0,1,QOG-w-5.1,Clarity,qcet,stage4_llm,QOG-w-5.1,partial,-1,strong,clarity of output,"Directly measures errors in clarity, inverse of QOG-w-5.1 definition.",True,,
Clarity and fluency,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,compound clarity and fluency metric,Combines two distinct QCET leaves (QOG-w-5.1 and QOG-w-3).,True,,
Clarity improvement,human,0,1,QOG-w-5.1,Clarity,qcet,stage4_llm,,none,-1,strong,clarity of output,Improvement implies measuring clarity as defined in QOG-w-5.1.,True,,
Clustering accuracy,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage4_llm,,none,-1,partial,accuracy of cluster assignments,Clustering accuracy aligns with classification against targets.,True,,
Chart Type,llm,1,0,QIC-c-3,Consistency with Input,qcet,stage4_llm,,none,-1,partial,consistency with input specification,"Implies matching input-defined chart type, aligning with consistency checks.",True,,
Chart Type Validation,human,0,1,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-3,partial,-1,partial,verification against input specifications,"Validation suggests checking alignment with input, fitting consistency broadly.",True,,
Chat capabilities,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,system functionality assessment,"Refers to feature presence, not a measurable quality dimension.",True,,
Citation identification,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,task-specific performance metric,"Task name, likely measured via accuracy/F1, not QCET quality.",True,,
Citeworthiness,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,citation merit assessment,"Specialized property outside QCET scope, not standard quality.",True,,
Clear Distinctions,human,0,1,QOG-w-5.1,Clarity,qcet,stage4_llm,QOG-w-5.1,partial,-1,partial,clarity of distinctions,"Focuses on clear separations, a specific aspect of general clarity.",True,,
Clear alignment with user's initial intent or goal throughout conversation,human,0,1,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage4_llm,QEG-w-3.1,partial,-1,strong,task relevance to user goal,Directly measures output utility for user's specified objectives.,True,,
Code Generation,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,task name (non-quality),"Describes a task, not a quality criterion.",True,,
Code correctness score based on error severity,llm,1,0,QEC-w-1,Functional Correctness,qcet,stage4_llm,QEC-w-1,partial,-1,strong,functional code correctness,Assesses behavioral accuracy via error severity.,True,,
Code snippet position,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,output location feature,"Refers to structural placement, not quality.",True,,
Cognitive suitability,llm,1,0,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage4_llm,QEG-w-2,partial,-1,partial,suitability for audience cognition,Matches QEG-w-2's focus on contextual appropriateness but emphasizes cognitive aspects specifically.,True,,
Cohen Kappa agreement,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,inter-annotator agreement metric,"This is a statistical metric name, not a quality criterion.",True,,
Cohen's Kappa,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,inter-annotator agreement metric,Explicit metric name falls under automatic evaluation tools.,True,,
Cohen's kappa inter-annotator agreement,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,inter-annotator agreement metric,"Refers to an agreement measurement tool, not an NLG quality dimension.",True,,
Coherence & Fluency,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,combined coherence-fluency criterion,Combines two distinct QCET leaves (QOG-c-3 and QOG-w-3) without a matching single category.,True,,
Clinical accuracy,llm,1,0,QEC-c-1,Factual Truth,qcet,stage4_llm,QEC-c-1,partial,-1,partial,clinical fact correctness,Specific application of factual truth in clinical contexts.,True,,
Clinical meaningfulness,llm,1,0,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage4_llm,QEG-w-3.1,partial,-1,partial,clinical task relevance,"Focuses on utility in clinical scenarios, a task-specific subset.",True,,
Clinical misinterpretation,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,QOC-c-1,partial,-1,partial,clinical semantic errors,"Refers to errors in clinical understanding, a semantic issue.",True,,
Clinical specifics,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,clinical detail inclusion,Vague term; not mappable to QCET taxonomy.,True,,
Classification consistency,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,output label stability,"Relates to system reliability, not a QCET criterion.",True,,
Code snippet presence,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,presence of code examples,Not a quality criterion; describes output content feature.,True,,
Code-Switching,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,language alternation in output,Specific linguistic feature not covered in QCET taxonomy.,True,,
Cognition Reframing,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,cognitive perspective shifting,"Unclassifiable; relates to user cognition, not output quality.",True,,
Cognitive abilities,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,mental capacity requirements,Vague term; not a measurable output quality criterion.,True,,
Cognitive driver analysis,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,examination of cognitive motivators,Not a quality criterion; likely meta-analysis concept.,True,,
Communication effectiveness,llm,1,0,QEG-w-5.1,Ease of Communication,qcet,stage4_llm,QEG-w-3.1,partial,-1,strong,facilitating user communication,Directly matches the QCET leaf for outputs improving communication ease.,True,,
Comment inclusion,llm,1,0,QIC-c-1,Absence of Omissions (relative to input),qcet,stage4_llm,QIC-c-1,partial,-1,strong,inclusion of input-specified content,"Refers to including comments specified in input, fitting omission prevention.",True,,
Commonsense Violation,human,0,1,QEC-c-1,Factual Truth,qcet,stage4_llm,QEC-c-1,partial,-1,partial,absence of factual errors,"Commonsense violations are untruths, but this category is broader.",True,,
Commonsense compliance,human,0,1,QEC-c-1,Factual Truth,qcet,stage4_llm,QEC-c-1,partial,-1,partial,adherence to real-world facts,Commonsense compliance aligns with truthfulness but is a subset.,True,,
Coherence label alignment,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage4_llm,,none,-1,partial,matching target class labels,Aligns with classification accuracy but specifies coherence focus.,True,,
Coherence or Consistency Error,human,0,1,QOG-c-3,Coherence,qcet,stage4_llm,QOC-w-1,partial,-1,strong,logical flow of content,Directly matches QCET's Coherence definition,True,,
Coherence to Song Prompt,human,0,1,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-3,partial,-1,strong,input-output consistency,Measures alignment with input content,True,,
Collaborativeness,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,teamwork facilitation ability,No direct QCET equivalent,True,,
Column header-value match,human,0,1,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-3,partial,-1,strong,structural consistency,Matches input-data alignment,True,,
Competence,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,task performance capability,Too broad for QCET mapping,True,,
competence,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,QEF-w-5,partial,-1,partial,task performance capability,Too broad for QCET mapping,True,,
Coherence & Reasoning,human,0,1,QOG-c-3,Coherence,qcet,stage4_llm,,none,-1,strong,logical flow and cohesion,Directly matches QCET's coherence definition for content/meaning.,True,,
Code Clarity,llm,1,0,QOG-w-5.1,Clarity,qcet,stage4_llm,,none,-1,strong,output clarity and comprehensibility,Explicitly aligns with QCET's clarity leaf for outputs.,True,,
Code Comments,llm,1,0,QOG-c-2,Informativeness,qcet,stage4_llm,,none,-1,partial,informativeness of output,"Comments enhance informativeness, though narrower than the leaf's scope.",True,,
code comments,human,0,1,QOG-c-2,Informativeness,qcet,stage4_llm,,none,-1,partial,informativeness of output,"Comments enhance informativeness, though narrower than the leaf's scope.",True,,
Code Execution,llm,1,0,QEC-w-1,Functional Correctness,qcet,stage4_llm,QEC-w-1,partial,-1,strong,functional behavior correctness,"Execution tests functional alignment with targets, fitting QEC-w-1 perfectly.",True,,
Code Exist,llm,1,0,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage4_llm,,none,-1,partial,absence of generation errors,Code existence is a basic correctness aspect under QOC-w-1.,True,,
Conditionality,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,presence of conditional logic,Refers to structural property not covered in QCET taxonomy.,True,,
Conditioned CS,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,abbreviated technical term,Ambiguous abbreviation; not mappable to QCET leaves.,True,,
Confidence Appropriateness,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,system self-assessment calibration,Relates to meta-cognition not output quality aspects.,True,,
Confidence in Matching,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,certainty in alignment tasks,"Focuses on system certainty, not output characteristics.",True,,
Conflict label (Conflicting),human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,data annotation category,"Appears to be a dataset label, not evaluation criterion.",True,,
Complete inference,human,0,1,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage4_llm,,none,-1,partial,overall output correctness,Relates to output integrity but broader than QCET specifics.,True,,
Complexity of Code,llm,1,0,QOF-w-3,Complexity/Non-complexity (outputs as a whole),qcet,stage4_llm,QOF-w-3,partial,-1,strong,output complexity measurement,Directly matches feature-based complexity assessment.,True,,
Compliance correctness,human,0,1,QEC-w-1,Functional Correctness,qcet,stage4_llm,,none,-1,partial,adherence to functional rules,Aligns with rule-based behavioral correctness.,True,,
Compliance with Constitutional Principles,llm,1,0,QEC-c-3,Absence of Bias / Stereotypes,qcet,stage4_llm,,none,-1,partial,fairness norm adherence,Partially covers ethical compliance aspects.,True,,
Completion of all subtasks,human,0,1,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage4_llm,QOC-w-1,partial,-1,partial,overall task correctness,Broadly fits holistic output accuracy.,True,,
Completeness of reason identification,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage4_llm,QIC-c-1,partial,-1,strong,coverage of input content units,"Directly measures missing reasons from input, aligning with omission avoidance.",True,,
Compliance with policy-violating instruction,llm,1,0,QEC-w-2,Refusal Appropriateness,qcet,stage4_llm,QIC-c-3,partial,-1,partial,appropriate refusal of harmful requests,Compliance implies failure to refuse; target covers refusal correctness broadly.,True,,
Comprehension accuracy,human,0,1,QIG-w-2,Degree to which Output Answers Question in Input,qcet,stage4_llm,,none,-1,partial,accuracy in answering input questions,General comprehension often assessed via question-answering accuracy.,True,,
Comprehensiveness & Diversity,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,compound coverage and variety metric,"Combines input-relative coverage (QI) and intrinsic diversity (QO), no single leaf fits.",True,,
Concealment,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,information hiding or omission,"Not covered in QCET; relates to intentional suppression, not standard omissions.",True,,
Conceptual Confusion,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,QOC-c-1,partial,-1,partial,semantic errors in outputs,"Refers to confusion in concepts, a specific semantic error type.",True,,
Concept coverage,llm,1,0,QIC-c-1,Absence of Omissions (relative to input),qcet,stage4_llm,QIC-c-1,partial,-1,partial,coverage of input concepts,Measures inclusion of input content units like concepts.,True,,
Concept incorporation,llm,1,0,QIC-c-1,Absence of Omissions (relative to input),qcet,stage4_llm,,none,-1,partial,inclusion of input concepts,"Focuses on integrating concepts, a subset of content omissions.",True,,
Conceptual,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,vague term; not a criterion,Adjective without specific evaluative meaning.,True,,
Condition satisfaction,llm,1,0,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-1,partial,-1,strong,adherence to input constraints,Output must satisfy conditions specified in input.,True,,
Content Error,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,,none,-1,strong,semantic errors in output,Content errors directly indicate semantic inaccuracies.,True,,
Content Relevance Errors,human,0,1,QIG-c-3,Relevance to Input,qcet,stage4_llm,QIG-c-3,partial,-1,partial,relevance of content to input,Errors in relevance align with low relevance scores.,True,,
Content Replication,human,0,1,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),qcet,stage4_llm,QIF-c-2,partial,-1,strong,similarity of content to input,Replication implies high content similarity to input.,True,,
Consistent queries,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage4_llm,QOG-c-4,partial,-1,partial,internal consistency of content,Queries as outputs should have self-consistent content.,True,,
Constructive Support,llm,1,0,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage4_llm,QEG-w-3.1,partial,-1,strong,usefulness for user's task,Constructive support means aiding the user's task.,True,,
Conflict label (Non-conflicting),human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,error analysis label,"Refers to error categorization, not a quality criterion.",True,,
Conflicting Error,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,error type identifier,"Describes an error category, not an evaluation criterion.",True,,
Conformity,human,0,1,QEC-f-1,Adherence to Style Guide,qcet,stage4_llm,QEC-f-1,partial,-1,strong,adherence to prescribed rules,Directly matches adherence to external guidelines.,True,,
Conciseness & Non-Redundancy,human,0,1,QOG-w-1,Nonredundancy (output as a whole),qcet,stage4_llm,QOG-w-1,partial,-1,strong,absence of redundant content,Both terms align with overall nonredundancy.,True,,
Conciseness and Precision,llm,1,0,QOG-w-1,Nonredundancy (output as a whole),qcet,stage4_llm,,none,-1,partial,brevity and exactness,Conciseness matches nonredundancy; precision is broader.,True,,
Concision,human,0,1,QOG-w-1,Nonredundancy (output as a whole),qcet,stage4_llm,QOG-w-1,partial,-1,strong,lack of redundancy,Concision directly matches nonredundancy in outputs.,True,,
Consistency in applying criteria,llm,1,0,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,evaluation process consistency,"Refers to system behavior, not output quality per QCET.",True,,
Consistency with UNSAT-core,llm,1,0,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-3,partial,-1,strong,output-input alignment,UNSAT-core is input; consistency matches QCET definition.,True,,
Consistency with visual evidence,llm,1,0,QEC-c-2,Relative Factual Accuracy,qcet,stage4_llm,QEC-c-2,partial,-1,strong,factual truth per source,Visual evidence is an external source for factual accuracy.,True,,
Consistent,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,,none,-1,strong,internal logical coherence,Direct match to self-consistency leaf.,True,,
Confused Placeholders,human,0,1,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage4_llm,QOC-w-1,partial,-1,partial,overall output correctness,"Refers to specific errors in placeholder handling, a subset of overall correctness.",True,,
Considered the protagonist's mental state,human,0,1,QEG-c-2,Appropriateness (content/meaning),qcet,stage4_llm,QEG-c-2,partial,-1,partial,content appropriateness in context,Mental state consideration is a contextual aspect of content appropriateness.,True,,
Consistency and coherency,human,0,1,QOG-c-3,Coherence,qcet,stage4_llm,,none,-1,partial,logical flow of content,"Coherency is covered, but consistency is a separate aspect not fully addressed.",True,,
Content description,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,vague meta-criterion,Lacks specificity for any QCET leaf; likely extraction noise.,True,,
Content Divergence,human,0,1,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),qcet,stage4_llm,QIF-c-2,partial,-1,partial,content similarity to input,Divergence implies dissimilarity relative to input content.,True,,
Constructive Value,llm,1,0,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage4_llm,QEG-w-3.1,partial,-1,partial,usefulness for user task,Focuses on value-added content for tasks but is broader than strict information need.,True,,
Content Addition,human,0,1,QIC-c-2,Absence of Additions (relative to input),qcet,stage4_llm,QIC-c-2,partial,4,partial,minimizing extra content,Relates to added content but emphasizes absence rather than presence.,True,,
Content support,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage4_llm,QIC-c-1,partial,-1,strong,inclusion of input content,Directly matches supporting input by including required content.,True,,
content support,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage4_llm,,none,-1,strong,inclusion of input content,Directly matches supporting input by including required content.,True,,
Context (implicature errors),human,0,1,QOC-c-1,Semantic Correctness,qcet,stage4_llm,,none,-1,partial,semantic/pragmatic accuracy,Implicature errors fall under semantic correctness but are more specific.,True,,
Context Clueing,human,0,1,QOG-w-5.1,Clarity,qcet,stage4_llm,QOG-w-5.1,partial,-1,partial,clarity of expression,Uses context for clarity but is a narrower application.,True,,
Content match,human,0,1,QTC-c-1,Meaning Accuracy,qcet,stage4_llm,QTC-c-1,partial,-1,strong,match of content to target,Directly measures output content matching target content.,True,,
Context Dependency,human,0,1,AUX-Other,Other / Unclassifiable,aux,stage4_llm,,none,-1,partial,dependency on context (unclassifiable),Not covered by any QCET leaf.,True,,
Context Diversity,human,0,1,QOF-w-1,Diversity/Non-diversity (outputs as a whole),qcet,stage4_llm,,none,-1,partial,diversity of outputs in context,"Relates to output diversity, but context aspect not explicit.",True,,
Context Fidelity,llm,1,0,QIC-c-3,Consistency with Input,qcet,stage4_llm,QIC-c-3,partial,-1,strong,consistency with input context,Fidelity to context implies input consistency.,True,,
